title,genre,year,rating,votes,runtime_min,director,language,country,budget_million,gross_million,metascore,profit_million,roi_percent
Movie Title 1,Drama,2018,5.3,297208,113,Wes Anderson,Japanese,South Korea,19.5,99.6,78.0,80.1,410.8
Movie Title 2,Horror,2008,6.6,751186,98,Steven Spielberg,Hindi,Germany,88.6,460.3,38.0,371.7,419.5
Movie Title 3,Drama,1994,9.6,801554,128,David Lynch,Japanese,South Korea,63.3,432.6,47.0,369.3,583.4
Movie Title 4,Romance,2022,7.0,1991900,140,Steven Spielberg,French,UK,107.2,640.9,91.0,533.7,497.9
Movie Title 5,Romance,1987,7.2,1118007,161,Alfonso Cuaron,German,USA,222.5,986.1,33.0,763.6,343.2
Movie Title 6,Drama,2000,7.9,1105321,78,David Fincher,Hindi,Germany,38.6,204.5,43.0,165.9,429.8
Movie Title 7,Horror,2018,5.9,1099657,196,David Fincher,German,UK,4.1,9.6,63.0,5.5,134.1
Movie Title 8,Drama,1998,5.2,927215,203,Coen Brothers,English,Australia,3.0,14.5,75.0,11.5,383.3
Movie Title 9,Animation,2002,6.7,217204,214,Ridley Scott,Hindi,South Korea,21.0,84.3,70.0,63.3,301.4
Movie Title 10,Crime,1990,6.8,937297,213,Guillermo del Toro,French,Australia,161.8,200.6,51.0,38.8,24.0
Movie Title 11,Thriller,1990,4.6,1450991,200,James Cameron,English,Australia,44.4,92.9,69.0,48.5,109.2
Movie Title 12,Action,2003,7.0,601541,90,David Fincher,Spanish,Germany,19.0,47.0,60.0,28.0,147.4
Movie Title 13,Thriller,2015,7.8,299335,133,Quentin Tarantino,French,France,30.6,226.7,,196.1,640.8
Movie Title 14,Horror,2019,5.4,1846219,159,Wes Anderson,English,UK,54.8,109.4,44.0,54.6,99.6
Movie Title 15,Thriller,2003,7.0,1160662,105,Quentin Tarantino,Italian,Australia,63.5,156.0,80.0,92.5,145.7
Movie Title 16,Romance,1982,7.6,457285,131,James Cameron,Japanese,India,10.0,30.8,85.0,20.8,208.0
Movie Title 17,Documentary,2001,7.2,975250,145,Christopher Nolan,Hindi,Japan,226.4,1217.4,61.0,991.0,437.7
Movie Title 18,Action,1981,7.3,415758,82,Christopher Nolan,English,South Korea,47.2,53.0,84.0,5.8,12.3
Movie Title 19,Sci-Fi,2003,6.2,425528,80,Steven Spielberg,Hindi,South Korea,8.7,66.5,55.0,57.8,664.4
Movie Title 20,Horror,2023,5.1,439458,123,David Lynch,Japanese,India,134.5,935.0,95.0,800.5,595.2
Movie Title 21,Action,2009,6.0,889403,85,David Fincher,English,Germany,4.7,22.1,28.0,17.4,370.2
Movie Title 22,Thriller,2017,5.8,619071,77,Denis Villeneuve,Spanish,Germany,143.0,780.4,55.0,637.4,445.7
Movie Title 23,Romance,1981,6.4,1699545,173,Stanley Kubrick,Italian,Germany,340.4,112.3,57.0,-228.1,-67.0
Movie Title 24,Comedy,2000,7.8,613181,128,Stanley Kubrick,Italian,UK,72.3,205.6,52.0,133.3,184.4
Movie Title 25,Crime,2012,4.9,973892,126,Coen Brothers,French,USA,88.3,565.7,61.0,477.4,540.7
Movie Title 26,Sci-Fi,1991,6.7,1549373,109,Peter Jackson,English,Australia,24.7,19.9,,-4.8,-19.4
Movie Title 27,Crime,2001,5.2,159763,199,James Cameron,Japanese,France,170.4,409.3,65.0,238.9,140.2
Movie Title 28,Action,2023,5.6,1651824,163,Steven Spielberg,English,Japan,45.3,215.9,80.0,170.6,376.6
Movie Title 29,Romance,2004,7.2,1920396,207,Denis Villeneuve,Hindi,USA,79.1,174.0,37.0,94.9,120.0
Movie Title 30,Romance,2006,5.1,1072177,113,Stanley Kubrick,Korean,USA,154.7,1157.9,89.0,1003.2,648.5
Movie Title 31,Thriller,2021,7.4,1036811,208,David Fincher,German,India,221.8,271.1,99.0,49.3,22.2
Movie Title 32,Animation,2007,4.9,412236,149,Alfonso Cuaron,English,UK,107.5,690.1,34.0,582.6,542.0
Movie Title 33,Thriller,1995,7.3,140227,150,Denis Villeneuve,Italian,South Korea,21.7,90.3,67.0,68.6,316.1
Movie Title 34,Animation,1994,4.6,1774055,71,David Lynch,Italian,South Korea,203.9,1234.1,91.0,1030.2,505.2
Movie Title 35,Animation,2023,5.8,999555,209,Denis Villeneuve,German,India,59.4,155.8,32.0,96.4,162.3
Movie Title 36,Sci-Fi,1982,8.8,693137,184,Alfonso Cuaron,Italian,UK,160.1,674.5,62.0,514.4,321.3
Movie Title 37,Thriller,2016,8.6,282854,159,Stanley Kubrick,Spanish,India,67.6,465.3,79.0,397.7,588.3
Movie Title 38,Comedy,1986,6.0,371858,92,David Lynch,English,South Korea,22.0,84.5,76.0,62.5,284.1
Movie Title 39,Drama,2000,7.0,680892,215,James Cameron,French,USA,27.7,83.3,90.0,55.6,200.7
Movie Title 40,Drama,1988,7.9,1702591,131,Steven Spielberg,English,France,48.0,210.3,36.0,162.3,338.1
Movie Title 41,Thriller,2018,7.3,1985681,182,Ridley Scott,Korean,Australia,93.6,542.5,69.0,448.9,479.6
Movie Title 42,Thriller,1997,6.2,1637091,197,Quentin Tarantino,Italian,Germany,23.0,84.2,51.0,61.2,266.1
Movie Title 43,Crime,1983,5.6,661327,131,Coen Brothers,Hindi,UK,52.0,391.2,41.0,339.2,652.3
Movie Title 44,Sci-Fi,2004,7.5,1658153,107,Steven Spielberg,Italian,Australia,25.4,63.5,,38.1,150.0
Movie Title 45,Thriller,1993,7.9,152094,130,Alfonso Cuaron,English,Japan,101.5,396.7,76.0,295.2,290.8
Movie Title 46,Crime,1988,8.6,1486255,198,Peter Jackson,Spanish,Japan,37.7,230.1,32.0,192.4,510.3
Movie Title 47,Animation,2005,4.5,731031,218,Denis Villeneuve,Japanese,USA,4.8,26.8,66.0,22.0,458.3
Movie Title 48,Romance,1981,5.0,793154,191,Ridley Scott,English,India,10.9,75.6,81.0,64.7,593.6
Movie Title 49,Romance,1999,7.9,1732349,179,Alfonso Cuaron,English,India,3.8,30.3,73.0,26.5,697.4
Movie Title 50,Animation,2007,4.6,868482,82,James Cameron,French,South Korea,41.5,146.5,48.0,105.0,253.0
Movie Title 51,Horror,1986,8.0,1552224,169,Martin Scorsese,Spanish,USA,6.7,7.1,41.0,0.4,6.0
Movie Title 52,Crime,2023,6.2,1807684,204,Alfonso Cuaron,Korean,South Korea,7.3,3.2,84.0,-4.1,-56.2
Movie Title 53,Crime,1987,5.9,1810858,91,Stanley Kubrick,Japanese,South Korea,169.9,997.3,48.0,827.4,487.0
Movie Title 54,Animation,2014,6.7,480083,143,Stanley Kubrick,Italian,Japan,123.7,868.0,67.0,744.3,601.7
Movie Title 55,Comedy,1993,4.9,1395316,201,Coen Brothers,Hindi,South Korea,36.1,69.4,,33.3,92.2
